Total Duration,Total Cost FCFA
138.7323633208012,67439033.1695029
161.7288128802696,73419122.43883522
149.78740575058458,65197341.12811668
121.9448121277872,69234976.80473825
144.8043098768056,74715405.91554077
151.97522775895766,69060136.36269395
137.23495796030483,71276919.38305876
154.4817160540553,72834121.80178443
115.08346958962356,73143275.68676278
128.61758989879206,75457380.75115731
168.18343432200768,72538008.02655227
149.41462346143288,73434229.60140887
140.0509215162512,74863371.78448272
135.1709414577262,73915755.73559158
163.38901858095704,66007588.35897393
146.30027826014094,80699346.38884771
103.2522021603362,69182731.81879655
153.80610733695602,72302675.03465256
115.52744735086473,80371470.58006483
161.35124830472614,68478414.59714554
136.33718604569228,63933430.287326366
135.77325736781557,68321718.26951665
146.54310032004193,67340660.03880623
106.17192344983397,74607716.27057038
159.82667602334038,73014969.7028695
135.07927969610265,62426320.8759341
140.42821946465466,76172145.21076547
131.15817635562306,73121474.2823923
138.75244317819843,75432799.84231563
167.72316045440036,66344861.23948408
146.7601006985841,74806915.07704559
138.23216492603657,71550887.01999539
135.28867571623687,68967679.46308307
137.00966648404344,74113102.37218764
146.4609972802525,69361572.6247264
140.48526084273948,67345461.20241246
118.17457986444384,69084094.486307
131.5794128451944,79409799.30292545
147.1761821652226,70856166.90367678
129.8991263824058,66233401.50000808
142.22746893161923,71262493.2926315
114.41562966195568,73261669.92455865
110.05817718331515,66783443.912143804
155.73429702572727,81365521.21406147
167.08372160806715,71270219.7893169
190.7657583763841,69776639.52164467
158.12001466756445,77369859.9885111
161.0051369003191,66602047.526613906
141.87888783854146,73107122.43746684
130.48862618242714,72357870.6303012
194.42171802058704,66451145.58559106
125.53733406769058,74174228.48459254
127.00405427648725,74374129.86284651
132.56065009561138,70602765.41136324
140.02658858502758,61451352.65772706
154.36897558459694,74395377.71486837
160.94222923902595,77452404.58226722
125.38832877636133,80791450.48137185
125.15727021259622,67424779.47782007
148.9793350904795,72209888.30878268
128.93525876402705,68997967.8628187
141.74039760078435,75348878.00675133
127.73054882570376,71162569.96890067
151.2448584608235,77190127.03139772
178.55131422646664,68291461.84104803
134.68647312597165,81335942.91369925
180.75723202401656,78038870.43131201
136.04169631048163,73733862.87453489
122.53478622108383,72921503.36266896
148.99129738380512,76051607.31687415
102.6642850282257,72542349.44211765
130.60557261642856,70507935.46276703
133.66150497628072,69184478.7237034
147.78146369849392,63233558.547933236
135.9379892385627,67640920.8567539
132.80393224549408,67199206.14750654
151.1947602717307,64903565.884840526
